Time,/fdm/jsbsim/forces/fbx-aero-lbs,/fdm/jsbsim/forces/fby-aero-lbs,/fdm/jsbsim/forces/fbz-aero-lbs,/fdm/jsbsim/forces/fwx-aero-lbs,/fdm/jsbsim/forces/fwy-aero-lbs,/fdm/jsbsim/forces/fwz-aero-lbs,/fdm/jsbsim/forces/fbx-gear-lbs,/fdm/jsbsim/forces/fby-gear-lbs,/fdm/jsbsim/forces/fbz-gear-lbs,/fdm/jsbsim/forces/fbx-total-lbs,/fdm/jsbsim/forces/fby-total-lbs,/fdm/jsbsim/forces/fbz-total-lbs,/fdm/jsbsim/forces/load-factor,/fdm/jsbsim/moments/l-aero-lbsft,/fdm/jsbsim/moments/m-aero-lbsft,/fdm/jsbsim/moments/n-aero-lbsft,/fdm/jsbsim/moments/l-gear-lbsft,/fdm/jsbsim/moments/m-gear-lbsft,/fdm/jsbsim/moments/n-gear-lbsft,/fdm/jsbsim/moments/l-total-lbsft,/fdm/jsbsim/moments/m-total-lbsft,/fdm/jsbsim/moments/n-total-lbsft
48.1498074,-194.737729611294071,6.2641714457669222,-2470.41442869060575,245.179216162360234,6.26759596470795177,2465.91916774731862,0,0,0,42.7587678153043953,6.2641714457669222,-2470.41442869060575,-0.994529215143738043,-209.727163795664524,-174.566700762569326,-87.7152278951172946,0,0,0,-0.000283620795443084717,0.000590338155944891696,0.0092516579259864784
48.1998072,-194.737764388930515,6.2641434116962964,-2470.41415560905898,245.179230056552825,6.26757407389038601,2465.91889551736995,0,0,0,42.758728641037635,6.2641434116962964,-2470.41415560905898,-0.994529318765029702,-209.727166107028779,-174.566536206968408,-87.7152534360139526,0,0,0,-0.000288473464820526715,0.000597700594852312861,0.00924864674634306994
48.249807,-194.737799601492497,6.26411540076309414,-2470.41388545621749,245.179244350878719,6.26755220430163895,2465.91862621603332,0,0,0,42.758688913383196,6.26411540076309414,-2470.41388545621749,-0.994529423569873838,-209.727168347209044,-174.566371666025361,-87.7152790914764466,0,0,0,-0.000293259057059458428,0.000604978319614701832,0.00924556364402917552
48.2998068,-194.737835243232695,6.26408741304529482,-2470.41361819631402,245.179259040084702,6.26753035596598185,2465.91835980754513,0,0,0,42.7586486399865464,6.26408741304529482,-2470.41361819631402,-0.994529529543984103,-209.727170516203842,-174.566207142042913,-87.7153048602674659,0,0,0,-0.000297977224192891299,0.000612170821824520317,0.00924240956638300304
48.3498066,-194.737871308341084,6.26405944861500252,-2470.41335379325119,245.179274118864782,6.26750852890257626,2465.91809625581163,0,0,0,42.7586078285442852,6.26405944861500252,-2470.41335379325119,-0.994529636672569883,-209.727172613944958,-174.566042637591181,-87.7153307411213632,0,0,0,-0.000302627571130642536,0.000619277311642463246,0.00923918547768209919
48.3998064,-194.737907790933178,6.2640315075427031,-2470.41309220994299,245.17928958181767,6.2674867231290774,2465.91783552375091,0,0,0,42.7585664867818309,6.2640315075427031,-2470.41309220994299,-0.994529744941057503,-209.727174640346561,-174.565878154928328,-87.715356732769294,0,0,0,-0.000307209733506397242,0.000626297272447118303,0.00923589232044719211
48.4498062,-194.737944685147625,6.26400358988976791,-2470.4128334101556,245.179305423604148,6.26746493865560961,2465.91757757513142,0,0,0,42.7585246224952868,6.26400358988976791,-2470.4128334101556,-0.994529854334498364,-209.727176595376818,-174.565713696672901,-87.7153828339150294,0,0,0,-0.000311723327882873491,0.000633229890411257657,0.00923253109202448741
48.499806,-194.73798198505213,6.26397569571720769,-2470.41257735664385,245.179321638790242,6.26744317549188956,2465.91732237271253,0,0,0,42.7584822435053695,6.26397569571720769,-2470.41257735664385,-0.994529964838231639,-209.727178478999008,-174.565549265063282,-87.7154090432686075,0,0,0,-0.000316168013796414016,0.00064007469288185348,0.00922910275730259855
48.5498058,-194.738019684721763,6.2639478250860483,-2470.41232401251818,245.179338221965594,6.26742143364792081,2465.91706987960652,0,0,0,42.7584393576869388,6.2639478250860483,-2470.41232401251818,-0.994530076436940136,-209.727180291188802,-174.565384862632527,-87.715435359566456,0,0,0,-0.000320543417302587841,0.000646830951239962815,0.00922560827200413769
48.5998056,-194.738057778137232,6.26391997804337652,-2470.41207333983994,245.179355167612698,6.26739971312145983,2465.91682005788016,0,0,0,42.7583959729380751,6.26391997804337652,-2470.41207333983994,-0.99453018911580171,-209.727182031937105,-174.5652204916139,-87.7154617814584014,0,0,0,-0.000324849249722092281,0.000653498180184897137,0.00922204864397713209
48.6498054,-194.738096259286436,6.26389215463705451,-2470.41182530107062,245.179372470240139,6.26737801391121607,2465.91657286999725,0,0,0,42.7583520972114854,6.26389215463705451,-2470.41182530107062,-0.994530302859683579,-209.727183701223112,-174.565056154407444,-87.7154883076258614,0,0,0,-0.000329085164366915706,0.000660075767058287965,0.0092184248656934642
48.6998052,-194.738135122153437,6.26386435491258098,-2470.41157985858672,245.179390124350476,6.26735633601407205,2465.91632827833746,0,0,0,42.7583077385015145,6.26386435491258098,-2470.41157985858672,-0.994530417652994436,-209.727185299098778,-174.564891853454242,-87.7155149367594902,0,0,0,-0.000333250861388023623,0.000666563079590787311,0.00921473792683968895
48.749805,-194.738174360643939,6.26383657890891232,-2470.41133697409941,245.179408124367569,6.26733467942114952,2465.9160862446156,0,0,0,42.7582629048301044,6.26383657890891232,-2470.41133697409941,-0.994530533480631584,-209.727186825546596,-174.564727591018936,-87.7155416675134205,0,0,0,-0.000337346023002282891,0.000672959620089841337,0.00921098882912474437
48.7998048,-194.738213968657419,6.26380882666508132,-2470.41109660932216,245.179426464712037,6.26731304412385359,2465.91584673054786,0,0,0,42.7582176042644164,6.26380882666508132,-2470.41109660932216,-0.994530650327061228,-209.727188280571795,-174.564563369448024,-87.7155684985660145,0,0,0,-0.00034137032741909934,0.000679264831518366918,0.00920717855704822341
